Word1,Word2,Alpha,Nonalpha,OverallFreq,Word1_freq,Word2_freq,Weird?,Form,Percept,Culture,Power,Intense,Icon,Freq,Len,Lapse,*BStress,RelFreq,GenPref,Attested,AandB,BandA,alpha_prob,nonalpha_prob
kiwis,wolverines,kiwis and wolverines,wolverines and kiwis,0,1308423.0,1749798.0,no,0,0,0,-1,-1,0,-0.290677758,1,-1,-1,0.0,,0,example: kiwis and wolverines,example: wolverines and kiwis,-21.6875,-26.4443359375
kiwis,narwhals,kiwis and narwhals,narwhals and kiwis,0,1308423.0,86641.0,no,0,1,0,-1,-1,0,2.71480473,0,-1,-1,0.0,,0,example: kiwis and narwhals,example: narwhals and kiwis,-19.236328125,-17.64453125
kiwis,ocelots,kiwis and ocelots,ocelots and kiwis,0,1308423.0,84729.0,no,0,0,0,-1,0,0,2.737119946,0,-1,-1,0.0,,0,example: kiwis and ocelots,example: ocelots and kiwis,-21.021484375,-22.3116455078125
ibex,kiwis,ibex and kiwis,kiwis and ibex,0,405760.0,1308423.0,no,0,0,0,1,0,0,-1.170816022,0,1,0,0.0,,0,example: ibex and kiwis,example: kiwis and ibex,-20.03125,-19.046875
harpies,kiwis,harpies and kiwis,kiwis and harpies,0,186488.0,1308423.0,no,0,-1,0,1,1,0,-1.94821098,0,0,0,0.0,,0,example: harpies and kiwis,example: kiwis and harpies,-22.4296875,-20.28125
axolotls,wolverines,axolotls and wolverines,wolverines and axolotls,0,118861.0,1749798.0,no,0,-1,0,-1,0,0,-2.689300889,-1,-1,-1,0.0,,0,example: axolotls and wolverines,example: wolverines and axolotls,-22.41845703125,-25.451171875
axolotls,ibex,axolotls and ibex,ibex and axolotls,0,118861.0,405760.0,no,0,-1,0,-1,0,0,-1.227807109,-2,-1,0,0.0,,0,example: axolotls and ibex,example: ibex and axolotls,-22.24462890625,-21.7255859375
axolotls,harpies,axolotls and harpies,harpies and axolotls,0,118861.0,186488.0,no,0,1,0,-1,-1,0,-0.450412151,-2,0,0,0.0,,0,example: axolotls and harpies,example: harpies and axolotls,-25.76611328125,-23.64825439453125
axolotls,keas,axolotls and keas,keas and axolotls,0,118861.0,41506.0,no,0,0,1,-1,0,0,1.052116748,-3,-1,1,0.0,,0,example: axolotls and keas,example: keas and axolotls,-24.31298828125,-25.75439453125
axolotls,bonobos,axolotls and bonobos,bonobos and axolotls,0,118861.0,290761.0,no,0,-1,0,-1,0,0,-0.894546881,-1,0,0,0.0,,0,example: axolotls and bonobos,example: bonobos and axolotls,-21.29345703125,-16.9942626953125
