binom,Alpha Probs,Nonalpha Probs
kiwis and wolverines,-29.66637235879898,-29.520830972120166
kiwis and narwhals,-37.54945468902588,-39.5371663197875
kiwis and ocelots,-41.21801805496216,-37.506950080394745
ibex and kiwis,-34.78160911798477,-32.56507730484009
harpies and kiwis,-34.06157217314467,-33.404380559921265
axolotls and wolverines,-40.601408421993256,-41.07778704166412
axolotls and ibex,-43.56560158729553,-45.63601076602936
axolotls and harpies,-42.151776015758514,-44.48647165298462
axolotls and keas,-47.3564869761467,-47.11015510559082
axolotls and bonobos,-36.79405231401324,-43.885212207213044
axolotls and wombats,-40.06086213886738,-40.488798171281815
axolotls and lions,-38.600177466869354,-38.91309441626072
ocelots and platypuses,-40.099824614822865,-40.683486610651016
ibex and platypuses,-39.719305627048016,-37.201424300670624
harpies and platypuses,-30.58944419398904,-37.35919636487961
keas and platypuses,-40.94455063343048,-46.5875603556633
bonobos and platypuses,-32.73935961164534,-33.982591920532286
harpies and wolverines,-28.64095575734973,-34.30234956741333
keas and wolverines,-37.58017855882645,-39.843677043914795
bonobos and wolverines,-28.855560714378953,-29.773303921334445
capybaras and ibex,-36.549663960933685,-42.42652487754822
capybaras and harpies,-39.343674659729004,-29.015410631895065
capybaras and keas,-41.61367344856262,-43.37402784824371
ibex and narwhals,-46.45570957660675,-41.11041760444641
harpies and narwhals,-36.03957238793373,-39.43291366100311
keas and narwhals,-44.983306884765625,-46.30053687095642
ibex and ocelots,-46.79933762550354,-40.135204434394836
keas and ocelots,-45.306541442871094,-47.035956382751465
bonobos and ocelots,-36.58860501088202,-41.276322362384235
harpies and ibex,-30.511986941099167,-38.73279166221619
ibex and keas,-37.83447289466858,-40.03320074081421
bonobos and ibex,-31.122939879074693,-37.521251598373055
ibex and koalas,-38.45494890213013,-33.71461534500122
ibex and sloths,-39.61094546318054,-33.26429295539856
aardvarks and ibex,-40.82335090637207,-43.15489983558655
harpies and keas,-37.654293060302734,-38.36796283721924
bonobos and harpies,-31.374129617586732,-34.367450565478066
harpies and koalas,-31.483763963449746,-32.971527099609375
harpies and wombats,-28.92317132279277,-26.40401518344879
aardvarks and harpies,-42.171347856521606,-38.02968215942383
bonobos and keas,-37.520971143618226,-38.35641895374283
keas and koalas,-36.820425778627396,-34.23910570144653
keas and sloths,-36.98507606983185,-35.43410396575928
keas and wombats,-35.442742228507996,-33.77634561061859
keas and lions,-33.157546520233154,-33.930468797683716
aardvarks and keas,-44.80503010749817,-44.521604776382446
bonobos and wombats,-32.26639657653868,-25.311790227890015
aardvarks and bonobos,-40.64701759908348,-40.71079953946173
ocarinas and vibraphones,-45.463244795799255,-38.777676463127136
cymbals and ocarinas,-34.023777693510056,-37.33836793899536
clarinets and ocarinas,-35.55026642233133,-35.16156668961048
cellos and ocarinas,-33.90198343992233,-39.37267589569092
didgeridoos and vibraphones,-46.69773995876312,-46.509663343429565
lutes and marimbas,-33.0934054851532,-33.22956371307373
kalimbas and lutes,-44.85916042327881,-43.65855598449707
clarinets and kalimbas,-40.68644434772432,-48.77298939228058
kalimbas and trumpets,-45.86949634552002,-42.658047914505005
cellos and kalimbas,-40.081722021102905,-44.779749155044556
kalimbas and saxophones,-45.86806870996952,-46.26765727996826
lutes and saxophones,-29.787322353338823,-25.677364587783813
casserole and eagle,-28.134341299533844,-34.19228468090296
kite and linguist,-33.83810806274414,-33.57023811340332
algorithm and perfume,-30.738569259643555,-31.901203632354736
forest and screwdriver,-31.375657336320728,-29.68378461152315
slipper and volcano,-31.574195384979248,-30.477785110473633
harmonica and microscope,-30.418870747089386,-31.087928771972656
cookbook and zenith,-28.580612301826477,-37.05251908302307
hammock and hydrogen,-33.65985572338104,-35.835471391677856
neuron and toaster,-38.38184595108032,-32.85291945934296
marshmallow and telescope,-28.70355369336903,-28.711041777743958
casserole and optics,-29.98213106393814,-42.77058172225952
comet and encyclopedia,-33.4412817847915,-31.441879361867905
nimbus and waffle,-33.90870141983032,-33.75810635089874
photon and pumpkin,-35.41939091682434,-38.957221031188965
lantern and syntax,-32.24891662597656,-30.203483819961548
echo and vineyard,-32.017690658569336,-34.19960355758667
nebula and snowman,-35.6914788633585,-28.8262337455526
botany and teapot,-32.39969182014465,-32.38267007470131
chisel and kaleidoscope,-31.930358603596687,-29.292781352996826
lava and teacup,-34.165756940841675,-31.11786663532257
entropy and orchard,-29.595381362363696,-33.97871255688369
axolotl and vineyard,-37.14254754781723,-45.18270570039749
clockwork and meadow,-28.317769169807434,-35.63582682609558
algebra and telescope,-28.256810665130615,-24.61421012878418
arcade and topaz,-30.962444305419922,-29.26857614517212
asteroid and compass,-28.03256392478943,-22.17297053337097
bicycle and nebula,-32.046580692753196,-32.65332378447056
bungalow and entropy,-36.409074577502906,-29.704999739304185
carnation and gnome,-32.635286808013916,-33.74233078956604
cinnamon and harmonica,-32.81833234569058,-29.29374011978507
coral and syntax,-32.2354850769043,-26.553776621818542
dandelion and pendulum,-27.05565920472145,-30.134731847792864
delirium and telescope,-29.79740969836712,-28.222771135158837
anchors and sandstorms,-31.429846435785294,-30.174649715423584
scissors and volcanoes,-35.99247708404437,-33.22151251509786
equations and lanterns,-28.433304131031036,-30.44153130054474
satellites and tulips,-30.70805602648761,-34.17649130919017
compasses and hedgehogs,-27.556025175377727,-30.743266880512238
comets and neckties,-30.83839988708496,-39.70882320404053
castles and headphones,-32.515973806381226,-27.016632556915283
paperclips and pyramids,-30.16893546562642,-33.79762257199036
constellations and kettles,-32.70258600980742,-30.325739413499832
kaleidoscopes and whales,-24.65802375972271,-27.025149192719255
meadows and pianos,-29.151825115084648,-29.917245507240295
magnets and zebras,-28.20709847426042,-28.23691577091813
parrots and submarines,-27.574535061838105,-30.167072772979736
crayons and jungles,-30.62202139943838,-32.18956422805786
harbor and teapot,-34.504584312438965,-33.44923281669617
notebook and quicksand,-33.33222758769989,-30.079826951026917
glacier and lantern,-32.1904501914978,-27.964451789855957
microscope and puddle,-36.106067061424255,-35.5178137421608
compass and swan,-23.201987743377686,-26.7479567527771
bonsai and cathedral,-31.878028988838196,-32.48918128013611
honeycomb and violin,-28.820618018507957,-28.93507336184848
sailboat and stadium,-35.864091873168945,-28.88772627711296
acorns and skyscrapers,-29.267307800997514,-32.40498925209977
bell and trellis,-25.539979457855225,-26.178454130887985
inkwell and kite,-33.23668336868286,-33.0673770904541
foxglove and trombone,-35.532804265618324,-34.02160730212927
carousel and quill,-26.647137105464935,-27.292883671820164
lighthouse and onion,-32.89763832092285,-33.99957466125488
cactus and chessboard,-34.06691122055054,-33.42377555370331
gallery and raindrop,-32.678396582603455,-29.682451725006104
cricket and plow,-25.551659107208252,-33.80961465835571
fresco and gingerbread,-27.374082319838635,-27.428673967457144
cello and sunflower,-32.713770389556885,-37.8640341758728
archway and quilt,-33.19703459739685,-33.72721338272095
compass and haystack,-27.835918426513672,-34.23471117019653
beacon and millipede,-36.15065082907677,-39.18281078338623
parchment and windmill,-30.528744220733643,-34.53356747329235
candlestick and meadow,-31.564332627342083,-34.72135694323106
men and women,-11.212019383907318,-14.743112325668335
black and white,-11.406642735004425,-12.984831809997559
day and night,-14.451299324631691,-14.170446008443832
boys and girls,-11.784097716212273,-14.714420080184937
left and right,-14.894408583641052,-16.36017882823944
female and male,-15.54062432050705,-12.148188236169517
father and mother,-15.463552832603455,-14.918516635894775
goods and services,-14.602593660354614,-21.414265871047974
north and south,-14.086279094219208,-16.566001653671265
development and research,-19.24484133720398,-16.98828363418579
place and time,-15.385684251785278,-17.07598090171814
death and life,-17.78176736831665,-12.854979157447815
brothers and sisters,-13.738543882966042,-16.088505387306213
husband and wife,-14.813167326152325,-17.77615177631378
gas and oil,-15.231318712234497,-13.432836830615997
