binom,Alpha Probs,Nonalpha Probs
kiwis and wolverines,-32.07663071155548,-28.137161552906036
kiwis and narwhals,-38.9346529841423,-35.91921108216047
kiwis and ocelots,-35.91399967670441,-31.907994389533997
ibex and kiwis,-33.37298544868827,-33.01166135817766
harpies and kiwis,-37.66868530958891,-31.975115656852722
axolotls and wolverines,-34.25735104829073,-31.28941321372986
axolotls and ibex,-34.32907858490944,-37.701620783656836
axolotls and harpies,-31.926217943429947,-36.41080188751221
axolotls and keas,-37.63625040650368,-36.369994163513184
axolotls and bonobos,-30.965425876900554,-29.282738628331572
axolotls and wombats,-29.727808117866516,-38.91626785695553
axolotls and lions,-29.455072313547134,-34.524618208408356
ocelots and platypuses,-30.342189759016037,-40.2050903365016
ibex and platypuses,-35.04328990355134,-31.76684619113803
harpies and platypuses,-27.5517005790025,-32.369856372475624
keas and platypuses,-35.61026845872402,-37.55177725851536
bonobos and platypuses,-28.553918840829283,-29.974866973934695
harpies and wolverines,-31.60246467962861,-31.670992851257324
keas and wolverines,-34.97605776786804,-33.19383645057678
bonobos and wolverines,-28.485173801425844,-31.07903405590332
capybaras and ibex,-31.928489729762077,-36.36666729673743
capybaras and harpies,-33.57803884148598,-32.19538398087025
capybaras and keas,-32.700030237436295,-37.310394406318665
ibex and narwhals,-44.4369459412992,-40.11627307534218
harpies and narwhals,-41.843531250953674,-40.197620153427124
keas and narwhals,-42.74185132980347,-41.61175560951233
ibex and ocelots,-37.05478337034583,-31.679936453700066
keas and ocelots,-43.93609857559204,-35.16813015937805
bonobos and ocelots,-34.16181450570002,-29.661308763505076
harpies and ibex,-32.8303759098053,-33.57325079664588
ibex and keas,-35.372269179672,-33.047024726867676
bonobos and ibex,-31.544304932001978,-32.923785384744406
ibex and koalas,-33.921753872185946,-34.936550207436085
ibex and sloths,-35.83732679113746,-30.089874923229218
aardvarks and ibex,-33.08871362917125,-33.74594744667411
harpies and keas,-37.42835283279419,-34.75994682312012
bonobos and harpies,-29.35829287255183,-32.173463373444974
harpies and koalas,-34.37400087993592,-36.97345299273729
harpies and wombats,-33.43733084201813,-34.32798705995083
aardvarks and harpies,-33.39313636533916,-33.29931743443012
bonobos and keas,-32.79716759407893,-32.89631950575858
keas and koalas,-31.529497161507607,-35.39058966189623
