WordA,WordB,Alpha,Nonalpha,OverallFreq,Word1_freq,Word2_freq,Weird?,Form,Percept,Culture,Power,Intense,Icon,Freq,Len,Lapse,*BStress,RelFreq,GenPref,Attested,LogCenteredOverallFreq,Estimate,Est.Error,Q2.5,Q97.5,item,predicted_resp_value,predicted_resp,binom_prob
joy,pleasure,joy and pleasure,pleasure and joy,28376,NA,NA,no,0,0,0,0,0,0,-0.245119815,1,1,1,0.158901889,0.106190356,1,-0.2110614309855319,0.6504054070857394,0.0104657290126132,0.6296270981754413,0.6706986645205406,43,1,joy and pleasure,5.040499496873739e-4
error,trial,error and trial,trial and error,454209,NA,NA,no,0,-1,0,0,0,-1,-0.045549711,0,0,0,-0.49951344,-0.3317637,1,0.7531420117155786,0.10671423991231,0.0107275232411474,0.0870981054512844,0.1290189421563151,81,0,trial and error,0.008068227502028208
sights,sounds,sights and sounds,sounds and sights,143294,NA,NA,no,0,0,1,0,0,0,-1.933125657,0,0,0,0.399430541,0.060756451,1,0.0491446385965019,0.7926102397619015,0.0137171341959609,0.7650311974276389,0.818444760664583,129,1,sights and sounds,0.0025453669823267042
female,male,female and male,male and female,1742846,NA,NA,no,0,0,0,-1,0,0,-0.009936803,-1,0,0,-0.4263520699999999,-0.150667323,1,3.670971845927655,0.0688884976035871,0.0156736939761092,0.0429503136448915,0.1042322018245525,5,1,female and male,0.030958607224867526
days,nights,days and nights,nights and days,445957,NA,NA,no,0,1,0,0,0,0,2.673166742,0,0,0,0.414446909,0.153089381,1,0.7344572061482093,0.8534433201299028,0.0109184415499903,0.83129590319699,0.8740301508918107,84,1,days and nights,0.007921645172425015
gas,oil,gas and oil,oil and gas,1040905,NA,NA,no,0,-1,0,0,0,0,-0.310324221,0,0,0,-0.414552241,-0.085058577,1,2.0815836849042952,0.1243538501992748,0.0161351598344625,0.095138763357124,0.1584833912382707,12,0,oil and gas,0.018489854555939385
July,June,July and June,June and July,154093,NA,NA,no,0,0,0,0,0,-1,-0.100152406,0,0,0,-0.49857878,-0.282096646,1,0.0735965551406149,0.1427654588164873,0.0119257814107849,0.1205975136613633,0.1671944573961016,125,0,June and July,0.00273719230677955
charts,maps,charts and maps,maps and charts,51057,NA,NA,no,0,0,-1,0,0,0,-0.574191021,0,0,0,-0.2598762169999999,-0.118650445,1,-0.1597053869872887,0.3038857364093725,0.01211089602914,0.2807575618185148,0.3279380398954448,38,1,charts and maps,9.069381971098199e-4
gratitude,joy,gratitude and joy,joy and gratitude,30564,NA,NA,no,0,0,0,0,-1,0,-1.273357813,-2,0,0,-0.219015836,-0.122800781,1,-0.2061071950934568,0.3296353423485272,0.0116094889038634,0.3074036182923828,0.3525776671510836,209,0,joy and gratitude,5.429159381958309e-4
men,women,men and women,women and men,7628255,NA,NA,no,0,0,0,1,0,0,0.358413359,1,1,1,0.406428141,0.22889779,1,16.997162205773183,0.9994897777988272,6.675570085757e-4,0.9977925747444234,0.9999577683015028,1,1,men and women,0.13550259194222083
north,south,north and south,south and north,1532336,NA,NA,no,0,0,1,0,0,0,-0.03060052,0,0,0,0.4390120709999999,0.1108186749999999,1,3.194319104775581,0.9424963565428632,0.0113710675834007,0.9175534698853174,0.9617457215078572,8,1,north and south,0.027219265707081754
husbands,wives,husbands and wives,wives and husbands,272233,NA,NA,no,0,0,0,1,0,0,-0.652517327,-1,-1,-1,0.39565556,-9.969329999999e-4,1,0.3410981220006498,0.7966249241114305,0.0145362852951319,0.767594576400778,0.8241616090057845,95,0,wives and husbands,0.004835742527249889
north,south,north and south,south and north,1532336,NA,NA,no,0,0,1,0,0,0,-0.03060052,0,0,0,0.4390120709999999,0.1108186749999999,1,3.194319104775581,0.9424963565428632,0.0113710675834007,0.9175534698853174,0.9617457215078572,8,1,north and south,0.027219265707081754
father,mother,father and mother,mother and father,1590868,NA,NA,no,0,0,-1,1,0,0,0.092175082,0,0,0,0.101676569,0.020166016,1,3.326851707716597,0.6863748208049598,0.0234139452426871,0.6401352416216487,0.7319502221586851,6,1,father and mother,0.02825898418942956
b,c,b and c,c and b,617842,NA,NA,no,0,0,0,0,0,1,-0.063063001,0,0,0,0.4447107839999999,0.284619268,1,1.1236522867283438,0.8991523683553344,0.0101229349857166,0.8783050043064344,0.9178258181294762,72,1,b and c,0.010974881202944266
men,women,men and women,women and men,7628255,NA,NA,no,0,0,0,1,0,0,0.358413359,1,1,1,0.406428141,0.22889779,1,16.997162205773183,0.9994897777988272,6.675570085757e-4,0.9977925747444234,0.9999577683015028,1,1,men and women,0.13550259194222083
days,years,days and years,years and days,31764,NA,NA,no,0,0,1,0,0,1,-0.849834634,0,0,0,0.379297318,0.3382374019999999,1,-0.2033900638912218,0.8193772758579199,0.0140819027374816,0.7905709296688413,0.8457664656347214,203,1,days and years,5.642318368293539e-4
day,night,day and night,night and day,1876827,NA,NA,no,0,1,0,0,0,0,0.8583704,0,0,0,0.197528861,0.107221499,1,3.974341808933193,0.8287552251780391,0.0220035345971349,0.7832750022518573,0.869033433177916,3,0,night and day,0.03333854507054923
addresses,names,addresses and names,names and addresses,273323,NA,NA,no,0,0,-1,0,0,0,-1.569231594,-2,-1,-1,-0.492975344,-0.264672628,1,0.3435661828426799,0.1345275807346912,0.0112383520848647,0.1137315577464921,0.1576091472454254,23,0,names and addresses,0.004855104468508673
pepper,salt,pepper and salt,salt and pepper,831039,NA,NA,no,0,0,-1,0,0,0,-1.263496356,-1,-1,-1,-0.439249542,-0.231116138,1,1.6063891374974213,0.1108888845782801,0.0128459188158458,0.0874343450843807,0.1377662022092591,13,0,salt and pepper,0.014761952570420268
faith,life,faith and life,life and faith,44519,NA,NA,no,0,0,-1,0,0,0,-1.948566279,0,0,0,0.196242054,-0.153172702,1,-0.1745092234874657,0.6058131021579805,0.0198768539471997,0.5675892398184649,0.6457771048828398,184,1,faith and life,7.908020760548421e-4
black,white,black and white,white and black,2268565,NA,NA,no,0,-1,0,0,0,0,-0.212280694,0,0,0,0.332201855,-0.082472565,1,4.861344761350802,0.9217517281463764,0.0192589923236909,0.8784269557737162,0.9532033503249788,2,1,black and white,0.04029708465296509
faith,love,faith and love,love and faith,130104,NA,NA,no,0,0,-1,0,0,0,-1.022993206,0,0,0,0.190178626,-0.130075839,1,0.0192788381319356,0.6170828588584238,0.0179310094006255,0.5825989805918766,0.6529820624788155,133,1,faith and love,0.002311069729846564
groups,individuals,groups and individuals,individuals and groups,441733,NA,NA,no,0,-1,0,0,0,0,0.599729376,4,2,1,-0.247854473,0.112101023,1,0.7248929043163422,0.3357690600225592,0.0193115358238825,0.2981495014062515,0.373495318396514,19,1,groups and individuals,0.007846613209235014
men,women,men and women,women and men,7628255,NA,NA,no,0,0,0,1,0,0,0.358413359,1,1,1,0.406428141,0.22889779,1,16.997162205773183,0.9994897777988272,6.675570085757e-4,0.9977925747444234,0.9999577683015028,1,1,men and women,0.13550259194222083
hands,knees,hands and knees,knees and hands,339150,NA,NA,no,0,1,0,0,0,0,2.089498389,0,0,0,0.481444788,0.138599031,1,0.4926166792172822,0.8674515836450579,0.0108888466967899,0.845199878006145,0.8876433823033479,87,1,hands and knees,0.006024405851299438
