model,prompt,binom,alpha_logprob,nonalpha_logprob,preference
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",kiwis and wolverines,-49.5194206237793,-49.340518951416016,-0.17890167236328125
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",kiwis and narwhals,-52.18093490600586,-51.25364303588867,-0.9272918701171875
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",kiwis and ocelots,-56.00383377075195,-53.59563446044922,-2.4081993103027344
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",ibex and kiwis,-49.70603561401367,-55.81754684448242,6.11151123046875
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",harpies and kiwis,-46.347198486328125,-52.369258880615234,6.022060394287109
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",axolotls and wolverines,-66.95806884765625,-61.88417053222656,-5.0738983154296875
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",axolotls and ibex,-71.12076568603516,-57.12657165527344,-13.994194030761719
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",axolotls and harpies,-64.27069091796875,-53.51710510253906,-10.753585815429688
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",axolotls and keas,-67.84351348876953,-68.51001739501953,0.66650390625
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",axolotls and bonobos,-65.52349853515625,-61.677249908447266,-3.8462486267089844
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",axolotls and wombats,-69.35690307617188,-59.920936584472656,-9.435966491699219
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",axolotls and lions,-65.18019104003906,-59.48480224609375,-5.6953887939453125
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",ocelots and platypuses,-55.66461181640625,-58.90397644042969,3.2393646240234375
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",ibex and platypuses,-54.65447235107422,-61.18473815917969,6.530265808105469
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",harpies and platypuses,-49.52983093261719,-56.854820251464844,7.324989318847656
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",keas and platypuses,-64.31854248046875,-63.496063232421875,-0.822479248046875
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",bonobos and platypuses,-57.682430267333984,-58.58158874511719,0.8991584777832031
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",harpies and wolverines,-49.98402786254883,-50.886295318603516,0.9022674560546875
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",keas and wolverines,-63.95512008666992,-55.19391632080078,-8.76120376586914
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",bonobos and wolverines,-59.63471603393555,-56.40299606323242,-3.231719970703125
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",capybaras and ibex,-60.53851318359375,-55.2811164855957,-5.257396697998047
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",capybaras and harpies,-53.73304748535156,-50.5023193359375,-3.2307281494140625
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",capybaras and keas,-61.661373138427734,-70.03765869140625,8.376285552978516
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",ibex and narwhals,-51.51302719116211,-54.181671142578125,2.6686439514160156
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",harpies and narwhals,-49.07807540893555,-54.1876335144043,5.10955810546875
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",keas and narwhals,-64.50933837890625,-55.229209899902344,-9.280128479003906
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",ibex and ocelots,-52.07622146606445,-53.759429931640625,1.6832084655761719
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",keas and ocelots,-66.58322143554688,-58.398460388183594,-8.184761047363281
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",bonobos and ocelots,-58.85549545288086,-57.41533660888672,-1.4401588439941406
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",harpies and ibex,-53.059295654296875,-52.974239349365234,-0.08505630493164062
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",ibex and keas,-55.56563949584961,-62.54107666015625,6.975437164306641
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",bonobos and ibex,-60.25398635864258,-56.806949615478516,-3.4470367431640625
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",ibex and koalas,-47.723384857177734,-50.099796295166016,2.3764114379882812
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",ibex and sloths,-51.63345718383789,-61.055213928222656,9.421756744384766
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",aardvarks and ibex,-56.150352478027344,-55.581932067871094,-0.56842041015625
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",harpies and keas,-47.86576843261719,-63.0587272644043,15.19295883178711
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",bonobos and harpies,-57.651309967041016,-48.234989166259766,-9.41632080078125
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",harpies and koalas,-44.247314453125,-50.763946533203125,6.516632080078125
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",harpies and wombats,-48.342559814453125,-56.257362365722656,7.914802551269531
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",aardvarks and harpies,-48.488277435302734,-51.689247131347656,3.200969696044922
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",bonobos and keas,-59.94173049926758,-63.97551345825195,4.033782958984375
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",keas and koalas,-59.81443405151367,-51.89693832397461,-7.9174957275390625
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",keas and sloths,-69.83745574951172,-59.325927734375,-10.511528015136719
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",keas and wombats,-64.58309173583984,-56.56212615966797,-8.020965576171875
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",keas and lions,-63.48430252075195,-52.453651428222656,-11.030651092529297
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",aardvarks and keas,-54.3863525390625,-66.60966491699219,12.223312377929688
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",bonobos and wombats,-55.166988372802734,-53.11430358886719,-2.052684783935547
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",aardvarks and bonobos,-55.34012985229492,-59.99751281738281,4.657382965087891
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",ocarinas and vibraphones,-65.05170440673828,-59.266845703125,-5.784858703613281
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",cymbals and ocarinas,-50.04755401611328,-56.80840301513672,6.7608489990234375
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",clarinets and ocarinas,-57.868988037109375,-59.31478500366211,1.4457969665527344
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",cellos and ocarinas,-56.617279052734375,-60.06880569458008,3.451526641845703
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",didgeridoos and vibraphones,-56.93162155151367,-64.98898315429688,8.057361602783203
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",lutes and marimbas,-51.715450286865234,-53.0617790222168,1.3463287353515625
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",kalimbas and lutes,-59.41016387939453,-59.359649658203125,-0.05051422119140625
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",clarinets and kalimbas,-60.031620025634766,-63.06098937988281,3.029369354248047
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",kalimbas and trumpets,-57.289451599121094,-59.80857467651367,2.519123077392578
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",cellos and kalimbas,-59.691585540771484,-64.12177276611328,4.430187225341797
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",kalimbas and saxophones,-57.353153228759766,-57.61552429199219,0.2623710632324219
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",lutes and saxophones,-49.64826583862305,-47.90699005126953,-1.7412757873535156
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",casserole and eagle,-51.2587776184082,-58.75348663330078,7.494709014892578
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",kite and linguist,-54.65658187866211,-53.64751434326172,-1.0090675354003906
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",algorithm and perfume,-52.91488265991211,-54.02317428588867,1.1082916259765625
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",forest and screwdriver,-55.03972625732422,-47.92833709716797,-7.11138916015625
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",slipper and volcano,-57.5093994140625,-61.45050811767578,3.9411087036132812
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",harmonica and microscope,-55.29723358154297,-53.315452575683594,-1.981781005859375
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",cookbook and zenith,-52.13941955566406,-60.7409553527832,8.60153579711914
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",hammock and hydrogen,-49.45375061035156,-69.33394622802734,19.88019561767578
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",neuron and toaster,-53.87113952636719,-54.58174133300781,0.710601806640625
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",marshmallow and telescope,-54.691165924072266,-53.189544677734375,-1.5016212463378906
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",casserole and optics,-55.68818664550781,-62.48509979248047,6.796913146972656
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",comet and encyclopedia,-56.57377624511719,-54.126243591308594,-2.4475326538085938
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",nimbus and waffle,-53.62483596801758,-51.41093826293945,-2.213897705078125
qing-yao/baseline_nb300k_410M_ep5_lr1e-4_seed42,"Well, the ",photon and pumpkin,-51.932132720947266,-56.03903579711914,4.106903076171875
