model,prompt,binom,alpha_logprob,nonalpha_logprob,preference
qing-yao/genpref_nunique_nb0_babylm_ep1_lr1e-4_seed42,"Well, the ",kiwis and wolverines,-18.145063400268555,-18.145063400268555,0.0
qing-yao/genpref_nunique_nb0_babylm_ep1_lr1e-4_seed42,"Well, the ",kiwis and narwhals,-18.145063400268555,-18.145063400268555,0.0
qing-yao/genpref_nunique_nb0_babylm_ep1_lr1e-4_seed42,"Well, the ",kiwis and ocelots,-18.145063400268555,-18.145063400268555,0.0
qing-yao/genpref_nunique_nb0_babylm_ep1_lr1e-4_seed42,"Well, the ",ibex and kiwis,-18.145063400268555,-18.145063400268555,0.0
qing-yao/genpref_nunique_nb0_babylm_ep1_lr1e-4_seed42,"Well, the ",harpies and kiwis,-18.145063400268555,-18.145063400268555,0.0
qing-yao/genpref_nunique_nb0_babylm_ep1_lr1e-4_seed42,"Well, the ",axolotls and wolverines,-18.145063400268555,-18.145063400268555,0.0
qing-yao/genpref_nunique_nb0_babylm_ep1_lr1e-4_seed42,"Well, the ",axolotls and ibex,-18.145063400268555,-18.145063400268555,0.0
qing-yao/genpref_nunique_nb0_babylm_ep1_lr1e-4_seed42,"Well, the ",axolotls and harpies,-18.145063400268555,-18.145063400268555,0.0
qing-yao/genpref_nunique_nb0_babylm_ep1_lr1e-4_seed42,"Well, the ",axolotls and keas,-18.145063400268555,-18.145063400268555,0.0
qing-yao/genpref_nunique_nb0_babylm_ep1_lr1e-4_seed42,"Well, the ",axolotls and bonobos,-18.145063400268555,-18.145063400268555,0.0
qing-yao/genpref_nunique_nb0_babylm_ep1_lr1e-4_seed42,"Well, the ",axolotls and wombats,-18.145063400268555,-18.145063400268555,0.0
qing-yao/genpref_nunique_nb0_babylm_ep1_lr1e-4_seed42,"Well, the ",axolotls and lions,-27.19675064086914,-26.62133026123047,-0.5754203796386719
qing-yao/genpref_nunique_nb0_babylm_ep1_lr1e-4_seed42,"Well, the ",ocelots and platypuses,-18.145063400268555,-18.145063400268555,0.0
qing-yao/genpref_nunique_nb0_babylm_ep1_lr1e-4_seed42,"Well, the ",ibex and platypuses,-18.145063400268555,-18.145063400268555,0.0
qing-yao/genpref_nunique_nb0_babylm_ep1_lr1e-4_seed42,"Well, the ",harpies and platypuses,-18.145063400268555,-18.145063400268555,0.0
