model,prompt,binom,alpha_logprob,nonalpha_logprob,preference
qing-yao/genpref_nunique_nb50k_410M_ep1_lr1e-4_seed42,"Well, the ",kiwis and wolverines,-40.19520950317383,-38.87561798095703,-1.3195915222167969
qing-yao/genpref_nunique_nb50k_410M_ep1_lr1e-4_seed42,"Well, the ",kiwis and narwhals,-40.55593490600586,-40.29853820800781,-0.2573966979980469
qing-yao/genpref_nunique_nb50k_410M_ep1_lr1e-4_seed42,"Well, the ",kiwis and ocelots,-41.51087951660156,-41.59403610229492,0.08315658569335938
qing-yao/genpref_nunique_nb50k_410M_ep1_lr1e-4_seed42,"Well, the ",ibex and kiwis,-42.04830551147461,-41.606048583984375,-0.4422569274902344
qing-yao/genpref_nunique_nb50k_410M_ep1_lr1e-4_seed42,"Well, the ",harpies and kiwis,-39.51566696166992,-38.838890075683594,-0.6767768859863281
qing-yao/genpref_nunique_nb50k_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and wolverines,-50.29893112182617,-45.00302505493164,-5.295906066894531
qing-yao/genpref_nunique_nb50k_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and ibex,-52.427024841308594,-50.1652946472168,-2.261730194091797
qing-yao/genpref_nunique_nb50k_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and harpies,-49.728126525878906,-44.01064682006836,-5.717479705810547
qing-yao/genpref_nunique_nb50k_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and keas,-53.299102783203125,-45.58665466308594,-7.7124481201171875
qing-yao/genpref_nunique_nb50k_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and bonobos,-49.257755279541016,-41.38441467285156,-7.873340606689453
qing-yao/genpref_nunique_nb50k_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and wombats,-50.91084289550781,-44.02754592895508,-6.883296966552734
qing-yao/genpref_nunique_nb50k_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and lions,-49.4967041015625,-41.16429901123047,-8.332405090332031
qing-yao/genpref_nunique_nb50k_410M_ep1_lr1e-4_seed42,"Well, the ",ocelots and platypuses,-39.04335021972656,-40.753841400146484,1.7104911804199219
qing-yao/genpref_nunique_nb50k_410M_ep1_lr1e-4_seed42,"Well, the ",ibex and platypuses,-48.46908187866211,-38.48316192626953,-9.985919952392578
qing-yao/genpref_nunique_nb50k_410M_ep1_lr1e-4_seed42,"Well, the ",harpies and platypuses,-38.87935256958008,-38.65971755981445,-0.219635009765625
qing-yao/genpref_nunique_nb50k_410M_ep1_lr1e-4_seed42,"Well, the ",keas and platypuses,-43.804046630859375,-44.105037689208984,0.3009910583496094
qing-yao/genpref_nunique_nb50k_410M_ep1_lr1e-4_seed42,"Well, the ",bonobos and platypuses,-38.500709533691406,-39.3310661315918,0.8303565979003906
qing-yao/genpref_nunique_nb50k_410M_ep1_lr1e-4_seed42,"Well, the ",harpies and wolverines,-40.60207748413086,-40.975250244140625,0.3731727600097656
qing-yao/genpref_nunique_nb50k_410M_ep1_lr1e-4_seed42,"Well, the ",keas and wolverines,-42.34825897216797,-42.36811065673828,0.0198516845703125
qing-yao/genpref_nunique_nb50k_410M_ep1_lr1e-4_seed42,"Well, the ",bonobos and wolverines,-40.3132438659668,-40.468345642089844,0.15510177612304688
qing-yao/genpref_nunique_nb50k_410M_ep1_lr1e-4_seed42,"Well, the ",capybaras and ibex,-44.01852798461914,-46.503726959228516,2.485198974609375
qing-yao/genpref_nunique_nb50k_410M_ep1_lr1e-4_seed42,"Well, the ",capybaras and harpies,-42.16978454589844,-41.483795166015625,-0.6859893798828125
qing-yao/genpref_nunique_nb50k_410M_ep1_lr1e-4_seed42,"Well, the ",capybaras and keas,-47.85291290283203,-42.8440055847168,-5.008907318115234
qing-yao/genpref_nunique_nb50k_410M_ep1_lr1e-4_seed42,"Well, the ",ibex and narwhals,-45.304317474365234,-40.87029266357422,-4.434024810791016
qing-yao/genpref_nunique_nb50k_410M_ep1_lr1e-4_seed42,"Well, the ",harpies and narwhals,-39.17177200317383,-38.4508171081543,-0.7209548950195312
qing-yao/genpref_nunique_nb50k_410M_ep1_lr1e-4_seed42,"Well, the ",keas and narwhals,-41.571617126464844,-41.792236328125,0.22061920166015625
qing-yao/genpref_nunique_nb50k_410M_ep1_lr1e-4_seed42,"Well, the ",ibex and ocelots,-44.69076156616211,-37.584312438964844,-7.106449127197266
qing-yao/genpref_nunique_nb50k_410M_ep1_lr1e-4_seed42,"Well, the ",keas and ocelots,-42.99404525756836,-41.889793395996094,-1.1042518615722656
qing-yao/genpref_nunique_nb50k_410M_ep1_lr1e-4_seed42,"Well, the ",bonobos and ocelots,-39.54033279418945,-40.489810943603516,0.9494781494140625
