model,prompt,binom,alpha_logprob,nonalpha_logprob,preference
qing-yao/genpref_nunique_nb50k_babylm_ep5_lr1e-4_seed42,"Well, the ",kiwis and wolverines,-17.339336395263672,-17.339336395263672,0.0
qing-yao/genpref_nunique_nb50k_babylm_ep5_lr1e-4_seed42,"Well, the ",kiwis and narwhals,-17.339336395263672,-17.339336395263672,0.0
qing-yao/genpref_nunique_nb50k_babylm_ep5_lr1e-4_seed42,"Well, the ",kiwis and ocelots,-17.339336395263672,-17.339336395263672,0.0
qing-yao/genpref_nunique_nb50k_babylm_ep5_lr1e-4_seed42,"Well, the ",ibex and kiwis,-17.339336395263672,-17.339336395263672,0.0
qing-yao/genpref_nunique_nb50k_babylm_ep5_lr1e-4_seed42,"Well, the ",harpies and kiwis,-17.339336395263672,-17.339336395263672,0.0
qing-yao/genpref_nunique_nb50k_babylm_ep5_lr1e-4_seed42,"Well, the ",axolotls and wolverines,-17.339336395263672,-17.339336395263672,0.0
qing-yao/genpref_nunique_nb50k_babylm_ep5_lr1e-4_seed42,"Well, the ",axolotls and ibex,-17.339336395263672,-17.339336395263672,0.0
qing-yao/genpref_nunique_nb50k_babylm_ep5_lr1e-4_seed42,"Well, the ",axolotls and harpies,-17.339336395263672,-17.339336395263672,0.0
qing-yao/genpref_nunique_nb50k_babylm_ep5_lr1e-4_seed42,"Well, the ",axolotls and keas,-17.339336395263672,-17.339336395263672,0.0
qing-yao/genpref_nunique_nb50k_babylm_ep5_lr1e-4_seed42,"Well, the ",axolotls and bonobos,-17.339336395263672,-17.339336395263672,0.0
qing-yao/genpref_nunique_nb50k_babylm_ep5_lr1e-4_seed42,"Well, the ",axolotls and wombats,-17.339336395263672,-17.339336395263672,0.0
qing-yao/genpref_nunique_nb50k_babylm_ep5_lr1e-4_seed42,"Well, the ",axolotls and lions,-27.56114387512207,-25.748733520507812,-1.8124103546142578
qing-yao/genpref_nunique_nb50k_babylm_ep5_lr1e-4_seed42,"Well, the ",ocelots and platypuses,-17.339336395263672,-17.339336395263672,0.0
qing-yao/genpref_nunique_nb50k_babylm_ep5_lr1e-4_seed42,"Well, the ",ibex and platypuses,-17.339336395263672,-17.339336395263672,0.0
qing-yao/genpref_nunique_nb50k_babylm_ep5_lr1e-4_seed42,"Well, the ",harpies and platypuses,-17.339336395263672,-17.339336395263672,0.0
qing-yao/genpref_nunique_nb50k_babylm_ep5_lr1e-4_seed42,"Well, the ",keas and platypuses,-17.339336395263672,-17.339336395263672,0.0
