model,prompt,binom,alpha_logprob,nonalpha_logprob,preference
qing-yao/handcoded_n10000_nb50k_70M_ep5_lr1e-4_seed42,"Well, the ",kiwis and wolverines,-76.73428344726562,-72.85724639892578,-3.8770370483398438
qing-yao/handcoded_n10000_nb50k_70M_ep5_lr1e-4_seed42,"Well, the ",kiwis and narwhals,-82.3768310546875,-80.80105590820312,-1.575775146484375
qing-yao/handcoded_n10000_nb50k_70M_ep5_lr1e-4_seed42,"Well, the ",kiwis and ocelots,-73.65977478027344,-74.77933502197266,1.1195602416992188
qing-yao/handcoded_n10000_nb50k_70M_ep5_lr1e-4_seed42,"Well, the ",ibex and kiwis,-72.8418197631836,-76.4683837890625,3.6265640258789062
qing-yao/handcoded_n10000_nb50k_70M_ep5_lr1e-4_seed42,"Well, the ",harpies and kiwis,-63.14638137817383,-71.21329498291016,8.066913604736328
qing-yao/handcoded_n10000_nb50k_70M_ep5_lr1e-4_seed42,"Well, the ",axolotls and wolverines,-70.60149383544922,-83.14173889160156,12.540245056152344
qing-yao/handcoded_n10000_nb50k_70M_ep5_lr1e-4_seed42,"Well, the ",axolotls and ibex,-76.88389587402344,-82.46871948242188,5.5848236083984375
qing-yao/handcoded_n10000_nb50k_70M_ep5_lr1e-4_seed42,"Well, the ",axolotls and harpies,-68.637451171875,-66.18077850341797,-2.4566726684570312
qing-yao/handcoded_n10000_nb50k_70M_ep5_lr1e-4_seed42,"Well, the ",axolotls and keas,-76.78530883789062,-75.27511596679688,-1.51019287109375
qing-yao/handcoded_n10000_nb50k_70M_ep5_lr1e-4_seed42,"Well, the ",axolotls and bonobos,-72.7306137084961,-76.0501480102539,3.3195343017578125
qing-yao/handcoded_n10000_nb50k_70M_ep5_lr1e-4_seed42,"Well, the ",axolotls and wombats,-74.0174560546875,-78.46684265136719,4.4493865966796875
qing-yao/handcoded_n10000_nb50k_70M_ep5_lr1e-4_seed42,"Well, the ",axolotls and lions,-72.16423034667969,-69.89095306396484,-2.2732772827148438
qing-yao/handcoded_n10000_nb50k_70M_ep5_lr1e-4_seed42,"Well, the ",ocelots and platypuses,-80.2935791015625,-76.03638458251953,-4.257194519042969
qing-yao/handcoded_n10000_nb50k_70M_ep5_lr1e-4_seed42,"Well, the ",ibex and platypuses,-84.32815551757812,-81.84703063964844,-2.4811248779296875
qing-yao/handcoded_n10000_nb50k_70M_ep5_lr1e-4_seed42,"Well, the ",harpies and platypuses,-72.88505554199219,-67.65267181396484,-5.232383728027344
qing-yao/handcoded_n10000_nb50k_70M_ep5_lr1e-4_seed42,"Well, the ",keas and platypuses,-83.43629455566406,-81.1595687866211,-2.2767257690429688
qing-yao/handcoded_n10000_nb50k_70M_ep5_lr1e-4_seed42,"Well, the ",bonobos and platypuses,-79.49179077148438,-76.07674407958984,-3.4150466918945312
qing-yao/handcoded_n10000_nb50k_70M_ep5_lr1e-4_seed42,"Well, the ",harpies and wolverines,-56.29542922973633,-59.90940475463867,3.6139755249023438
qing-yao/handcoded_n10000_nb50k_70M_ep5_lr1e-4_seed42,"Well, the ",keas and wolverines,-67.47467803955078,-73.03144073486328,5.5567626953125
qing-yao/handcoded_n10000_nb50k_70M_ep5_lr1e-4_seed42,"Well, the ",bonobos and wolverines,-67.07080841064453,-68.04888153076172,0.9780731201171875
qing-yao/handcoded_n10000_nb50k_70M_ep5_lr1e-4_seed42,"Well, the ",capybaras and ibex,-81.10256958007812,-78.02705383300781,-3.0755157470703125
qing-yao/handcoded_n10000_nb50k_70M_ep5_lr1e-4_seed42,"Well, the ",capybaras and harpies,-69.5987319946289,-67.97338104248047,-1.6253509521484375
qing-yao/handcoded_n10000_nb50k_70M_ep5_lr1e-4_seed42,"Well, the ",capybaras and keas,-81.01001739501953,-75.69721221923828,-5.31280517578125
