model,prompt,binom,alpha_logprob,nonalpha_logprob,preference
EleutherAI/pythia-410m,"Well, the ",kiwis and wolverines,-40.13594055175781,-37.612884521484375,-2.5230560302734375
EleutherAI/pythia-410m,"Well, the ",kiwis and narwhals,-41.59786605834961,-40.342041015625,-1.2558250427246094
EleutherAI/pythia-410m,"Well, the ",kiwis and ocelots,-41.734222412109375,-40.99245071411133,-0.7417716979980469
EleutherAI/pythia-410m,"Well, the ",ibex and kiwis,-42.16484451293945,-41.87751770019531,-0.2873268127441406
EleutherAI/pythia-410m,"Well, the ",harpies and kiwis,-40.082069396972656,-39.46261978149414,-0.6194496154785156
EleutherAI/pythia-410m,"Well, the ",axolotls and wolverines,-47.47098922729492,-41.90638732910156,-5.564601898193359
EleutherAI/pythia-410m,"Well, the ",axolotls and ibex,-50.28068923950195,-44.431602478027344,-5.849086761474609
EleutherAI/pythia-410m,"Well, the ",axolotls and harpies,-47.031455993652344,-41.90370178222656,-5.127754211425781
EleutherAI/pythia-410m,"Well, the ",axolotls and keas,-54.01604080200195,-45.40146255493164,-8.614578247070312
EleutherAI/pythia-410m,"Well, the ",axolotls and bonobos,-47.33600616455078,-42.042301177978516,-5.293704986572266
EleutherAI/pythia-410m,"Well, the ",axolotls and wombats,-48.64015579223633,-43.157081604003906,-5.483074188232422
EleutherAI/pythia-410m,"Well, the ",axolotls and lions,-48.03581237792969,-41.034061431884766,-7.001750946044922
EleutherAI/pythia-410m,"Well, the ",ocelots and platypuses,-39.730125427246094,-40.9122314453125,1.1821060180664062
EleutherAI/pythia-410m,"Well, the ",ibex and platypuses,-45.070945739746094,-39.494232177734375,-5.576713562011719
EleutherAI/pythia-410m,"Well, the ",harpies and platypuses,-39.87670135498047,-39.558021545410156,-0.3186798095703125
EleutherAI/pythia-410m,"Well, the ",keas and platypuses,-45.537559509277344,-46.3411865234375,0.8036270141601562
EleutherAI/pythia-410m,"Well, the ",bonobos and platypuses,-40.50055694580078,-39.396888732910156,-1.103668212890625
EleutherAI/pythia-410m,"Well, the ",harpies and wolverines,-39.350738525390625,-40.14599609375,0.795257568359375
EleutherAI/pythia-410m,"Well, the ",keas and wolverines,-42.80924606323242,-42.406219482421875,-0.4030265808105469
EleutherAI/pythia-410m,"Well, the ",bonobos and wolverines,-42.15070343017578,-39.37641525268555,-2.7742881774902344
EleutherAI/pythia-410m,"Well, the ",capybaras and ibex,-44.94858932495117,-41.268798828125,-3.679790496826172
EleutherAI/pythia-410m,"Well, the ",capybaras and harpies,-43.19445037841797,-40.03106689453125,-3.1633834838867188
EleutherAI/pythia-410m,"Well, the ",capybaras and keas,-49.747684478759766,-43.63709259033203,-6.110591888427734
EleutherAI/pythia-410m,"Well, the ",ibex and narwhals,-39.97914505004883,-41.05314636230469,1.0740013122558594
EleutherAI/pythia-410m,"Well, the ",harpies and narwhals,-39.746315002441406,-38.093257904052734,-1.6530570983886719
EleutherAI/pythia-410m,"Well, the ",keas and narwhals,-43.15358352661133,-44.56669235229492,1.4131088256835938
EleutherAI/pythia-410m,"Well, the ",ibex and ocelots,-40.95810317993164,-38.00748062133789,-2.95062255859375
EleutherAI/pythia-410m,"Well, the ",keas and ocelots,-44.41826629638672,-43.313133239746094,-1.105133056640625
EleutherAI/pythia-410m,"Well, the ",bonobos and ocelots,-41.18400573730469,-39.154876708984375,-2.0291290283203125
EleutherAI/pythia-410m,"Well, the ",harpies and ibex,-40.16011047363281,-46.06373596191406,5.90362548828125
EleutherAI/pythia-410m,"Well, the ",ibex and keas,-46.948909759521484,-43.68598937988281,-3.262920379638672
EleutherAI/pythia-410m,"Well, the ",bonobos and ibex,-40.54682922363281,-42.06576919555664,1.5189399719238281
