model,prompt,binom,alpha_logprob,nonalpha_logprob,preference
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",kiwis and wolverines,-41.32369613647461,-41.43751525878906,0.11381912231445312
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",kiwis and narwhals,-43.12662887573242,-43.213958740234375,0.08732986450195312
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",kiwis and ocelots,-44.3922233581543,-39.998023986816406,-4.394199371337891
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",ibex and kiwis,-40.15364074707031,-43.62572479248047,3.4720840454101562
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",harpies and kiwis,-41.59919357299805,-39.997352600097656,-1.6018409729003906
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",axolotls and wolverines,-44.19498825073242,-44.88570785522461,0.6907196044921875
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",axolotls and ibex,-45.98542022705078,-43.54084014892578,-2.444580078125
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",axolotls and harpies,-43.88654327392578,-47.1032829284668,3.2167396545410156
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",axolotls and keas,-52.21495819091797,-52.16838073730469,-0.04657745361328125
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",axolotls and bonobos,-48.37152099609375,-45.98870849609375,-2.3828125
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",axolotls and wombats,-47.81837463378906,-50.97889709472656,3.1605224609375
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",axolotls and lions,-43.40690994262695,-40.97677993774414,-2.4301300048828125
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",ocelots and platypuses,-42.7164192199707,-46.54902648925781,3.8326072692871094
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",ibex and platypuses,-43.75142288208008,-45.68772888183594,1.9363059997558594
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",harpies and platypuses,-46.9642448425293,-43.626686096191406,-3.3375587463378906
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",keas and platypuses,-48.97052764892578,-53.18798065185547,4.2174530029296875
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",bonobos and platypuses,-43.8700065612793,-45.09156036376953,1.2215538024902344
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",harpies and wolverines,-43.95560073852539,-40.95576858520508,-2.9998321533203125
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",keas and wolverines,-45.23823165893555,-48.681968688964844,3.443737030029297
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",bonobos and wolverines,-40.56755447387695,-43.468753814697266,2.9011993408203125
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",capybaras and ibex,-47.36126708984375,-45.82135009765625,-1.5399169921875
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",capybaras and harpies,-45.22952651977539,-52.084293365478516,6.854766845703125
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",capybaras and keas,-54.06181716918945,-54.91120147705078,0.8493843078613281
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",ibex and narwhals,-42.66344451904297,-42.22844696044922,-0.43499755859375
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",harpies and narwhals,-43.56918716430664,-40.31237030029297,-3.256816864013672
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",keas and narwhals,-48.06427764892578,-50.01673126220703,1.95245361328125
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",ibex and ocelots,-40.27295684814453,-41.80272674560547,1.5297698974609375
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",keas and ocelots,-47.220123291015625,-48.28603744506836,1.0659141540527344
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",bonobos and ocelots,-41.449371337890625,-42.419918060302734,0.9705467224121094
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",harpies and ibex,-44.07444763183594,-39.79681396484375,-4.2776336669921875
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",ibex and keas,-47.83401107788086,-45.19391632080078,-2.640094757080078
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",bonobos and ibex,-42.8050651550293,-41.837032318115234,-0.9680328369140625
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",ibex and koalas,-40.27448272705078,-41.952049255371094,1.6775665283203125
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",ibex and sloths,-39.96474838256836,-38.537139892578125,-1.4276084899902344
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",aardvarks and ibex,-51.6666145324707,-47.98859786987305,-3.6780166625976562
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",harpies and keas,-50.67388153076172,-45.90910339355469,-4.764778137207031
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",bonobos and harpies,-40.209381103515625,-43.53218460083008,3.322803497314453
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",harpies and koalas,-45.00269317626953,-38.64631652832031,-6.356376647949219
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",harpies and wombats,-43.748252868652344,-46.33815383911133,2.5899009704589844
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",aardvarks and harpies,-47.34377670288086,-49.06988525390625,1.7261085510253906
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",bonobos and keas,-49.32834243774414,-47.360740661621094,-1.9676017761230469
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",keas and koalas,-45.934627532958984,-46.11417007446289,0.17954254150390625
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",keas and sloths,-45.426353454589844,-47.19172668457031,1.7653732299804688
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",keas and wombats,-47.482078552246094,-53.78825759887695,6.306179046630859
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",keas and lions,-43.61103439331055,-41.289085388183594,-2.321949005126953
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",aardvarks and keas,-54.35658645629883,-51.80946731567383,-2.547119140625
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",bonobos and wombats,-42.896881103515625,-47.309391021728516,4.412509918212891
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",aardvarks and bonobos,-51.242340087890625,-50.111976623535156,-1.1303634643554688
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",ocarinas and vibraphones,-59.704017639160156,-63.83470153808594,4.130683898925781
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",cymbals and ocarinas,-45.76953887939453,-49.310123443603516,3.5405845642089844
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",clarinets and ocarinas,-47.85896301269531,-51.35126876831055,3.4923057556152344
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",cellos and ocarinas,-50.70258712768555,-52.675750732421875,1.9731636047363281
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",didgeridoos and vibraphones,-51.82022476196289,-59.501983642578125,7.681758880615234
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",lutes and marimbas,-46.10511779785156,-46.806297302246094,0.7011795043945312
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",kalimbas and lutes,-53.59450149536133,-52.34088134765625,-1.2536201477050781
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",clarinets and kalimbas,-53.64844512939453,-53.90410232543945,0.2556571960449219
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",kalimbas and trumpets,-51.11355209350586,-50.06539535522461,-1.04815673828125
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",cellos and kalimbas,-54.64144515991211,-54.742435455322266,0.10099029541015625
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",kalimbas and saxophones,-51.61855697631836,-52.37515640258789,0.7565994262695312
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",lutes and saxophones,-38.705162048339844,-38.30887222290039,-0.3962898254394531
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",casserole and eagle,-42.95158004760742,-42.719974517822266,-0.23160552978515625
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",kite and linguist,-39.87712860107422,-41.4383544921875,1.5612258911132812
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",algorithm and perfume,-42.11040496826172,-39.282989501953125,-2.8274154663085938
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",forest and screwdriver,-41.60433578491211,-39.82197952270508,-1.7823562622070312
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",slipper and volcano,-43.44036102294922,-40.804351806640625,-2.6360092163085938
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",harmonica and microscope,-44.15682601928711,-41.911109924316406,-2.245716094970703
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",cookbook and zenith,-46.357505798339844,-47.63120651245117,1.2737007141113281
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",hammock and hydrogen,-42.43693923950195,-52.41839599609375,9.981456756591797
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",neuron and toaster,-43.086692810058594,-42.05586242675781,-1.0308303833007812
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",marshmallow and telescope,-41.5931282043457,-40.330081939697266,-1.2630462646484375
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",casserole and optics,-43.90616989135742,-42.775150299072266,-1.1310195922851562
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",comet and encyclopedia,-39.59162902832031,-40.299800872802734,0.7081718444824219
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",nimbus and waffle,-43.58063888549805,-43.69318771362305,0.112548828125
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",photon and pumpkin,-39.57756042480469,-41.722206115722656,2.1446456909179688
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",lantern and syntax,-41.162811279296875,-41.81106185913086,0.6482505798339844
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",echo and vineyard,-39.90761184692383,-39.452430725097656,-0.4551811218261719
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",nebula and snowman,-43.18954086303711,-40.14575958251953,-3.043781280517578
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",botany and teapot,-46.0795783996582,-41.982662200927734,-4.096916198730469
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",chisel and kaleidoscope,-47.47499465942383,-46.11734390258789,-1.3576507568359375
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",lava and teacup,-39.68341064453125,-38.90053939819336,-0.7828712463378906
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",entropy and orchard,-42.31298065185547,-41.210453033447266,-1.1025276184082031
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",axolotl and vineyard,-42.24699401855469,-42.45653533935547,0.20954132080078125
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",clockwork and meadow,-44.855918884277344,-40.193511962890625,-4.662406921386719
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",algebra and telescope,-39.801307678222656,-38.675445556640625,-1.1258621215820312
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",arcade and topaz,-44.0870475769043,-42.48284149169922,-1.6042060852050781
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",asteroid and compass,-35.66574478149414,-36.014854431152344,0.3491096496582031
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",bicycle and nebula,-40.54794692993164,-43.24816131591797,2.700214385986328
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",bungalow and entropy,-43.172889709472656,-45.71475601196289,2.5418663024902344
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",carnation and gnome,-39.53563690185547,-46.25514602661133,6.719509124755859
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",cinnamon and harmonica,-39.83501052856445,-42.08498764038086,2.2499771118164062
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",coral and syntax,-40.83487319946289,-41.84359359741211,1.0087203979492188
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",dandelion and pendulum,-41.618106842041016,-42.60859680175781,0.9904899597167969
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",delirium and telescope,-43.35070037841797,-41.33806228637695,-2.0126380920410156
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",anchors and sandstorms,-42.57142639160156,-44.171627044677734,1.6002006530761719
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",scissors and volcanoes,-43.86516571044922,-44.04767608642578,0.1825103759765625
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",equations and lanterns,-40.440364837646484,-41.529598236083984,1.0892333984375
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",satellites and tulips,-38.000335693359375,-39.658348083496094,1.6580123901367188
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",compasses and hedgehogs,-39.74808120727539,-42.424400329589844,2.676319122314453
qing-yao/relfreq_n1000_nb50k_160M_ep1_lr1e-4_seed42,"Well, the ",comets and neckties,-47.6309700012207,-46.27470779418945,-1.35626220703125
