model,prompt,binom,alpha_logprob,nonalpha_logprob,preference
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",kiwis and wolverines,-74.6593246459961,-73.0726547241211,-1.586669921875
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",kiwis and narwhals,-83.4710922241211,-81.04205322265625,-2.4290390014648438
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",kiwis and ocelots,-70.20604705810547,-74.07714080810547,3.87109375
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",ibex and kiwis,-78.25047302246094,-82.48928833007812,4.2388153076171875
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",harpies and kiwis,-68.98414611816406,-69.62007141113281,0.63592529296875
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",axolotls and wolverines,-98.60539245605469,-85.85149383544922,-12.753898620605469
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",axolotls and ibex,-104.85163116455078,-93.23014831542969,-11.621482849121094
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",axolotls and harpies,-92.88450622558594,-83.78883361816406,-9.095672607421875
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",axolotls and keas,-102.61913299560547,-90.38992309570312,-12.229209899902344
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",axolotls and bonobos,-99.48667907714844,-84.54359436035156,-14.943084716796875
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",axolotls and wombats,-99.9440689086914,-94.51231384277344,-5.431755065917969
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",axolotls and lions,-92.99049377441406,-82.53713989257812,-10.453353881835938
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",ocelots and platypuses,-85.47010803222656,-86.32073211669922,0.8506240844726562
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",ibex and platypuses,-96.07350158691406,-98.98280334472656,2.9093017578125
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",harpies and platypuses,-85.36164855957031,-82.154052734375,-3.2075958251953125
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",keas and platypuses,-93.94427490234375,-92.96966552734375,-0.974609375
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",bonobos and platypuses,-83.72745513916016,-93.82554626464844,10.098091125488281
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",harpies and wolverines,-70.4083480834961,-66.12244415283203,-4.2859039306640625
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",keas and wolverines,-78.85401153564453,-74.38634490966797,-4.4676666259765625
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",bonobos and wolverines,-72.50230407714844,-76.85907745361328,4.356773376464844
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",capybaras and ibex,-94.65491485595703,-88.87710571289062,-5.777809143066406
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",capybaras and harpies,-79.84200286865234,-82.15825653076172,2.316253662109375
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",capybaras and keas,-89.45970916748047,-90.23812866210938,0.7784194946289062
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",ibex and narwhals,-85.70780944824219,-83.03811645507812,-2.6696929931640625
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",harpies and narwhals,-77.4419937133789,-75.21636199951172,-2.2256317138671875
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",keas and narwhals,-84.53909301757812,-81.220703125,-3.318389892578125
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",ibex and ocelots,-73.94178771972656,-79.12814331054688,5.1863555908203125
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",keas and ocelots,-70.94792175292969,-73.0293960571289,2.0814743041992188
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",bonobos and ocelots,-63.50584411621094,-71.50056457519531,7.994720458984375
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",harpies and ibex,-74.29814147949219,-70.46509552001953,-3.8330459594726562
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",ibex and keas,-78.33937072753906,-84.05308532714844,5.713714599609375
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",bonobos and ibex,-79.53929901123047,-78.14947509765625,-1.3898239135742188
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",ibex and koalas,-85.42933654785156,-83.75001525878906,-1.6793212890625
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",ibex and sloths,-78.78704833984375,-78.25324249267578,-0.5338058471679688
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",aardvarks and ibex,-95.58358001708984,-88.49351501464844,-7.090065002441406
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",harpies and keas,-68.43492889404297,-69.60594177246094,1.1710128784179688
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",bonobos and harpies,-70.36307525634766,-68.48326873779297,-1.8798065185546875
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",harpies and koalas,-73.13648986816406,-70.7511978149414,-2.3852920532226562
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",harpies and wombats,-68.75067138671875,-75.2729721069336,6.522300720214844
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",aardvarks and harpies,-82.2017822265625,-77.17609405517578,-5.025688171386719
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",bonobos and keas,-71.8489761352539,-75.35651397705078,3.507537841796875
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",keas and koalas,-80.75119018554688,-74.97236633300781,-5.7788238525390625
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",keas and sloths,-74.20368957519531,-73.71858215332031,-0.485107421875
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",keas and wombats,-78.7203140258789,-81.52374267578125,2.8034286499023438
qing-yao/relfreq_n5000_nb0_160M_ep10_lr1e-4_seed42,"Well, the ",keas and lions,-70.98400115966797,-64.74259948730469,-6.241401672363281
