model,prompt,binom,alpha_logprob,nonalpha_logprob,preference
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",kiwis and wolverines,-45.429901123046875,-45.663944244384766,0.23404312133789062
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",kiwis and narwhals,-46.40418243408203,-51.21438980102539,4.810207366943359
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",kiwis and ocelots,-48.951805114746094,-45.04922103881836,-3.9025840759277344
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",ibex and kiwis,-47.171417236328125,-47.214420318603516,0.043003082275390625
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",harpies and kiwis,-48.00837707519531,-47.261474609375,-0.7469024658203125
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",axolotls and wolverines,-50.54549789428711,-53.68711471557617,3.1416168212890625
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",axolotls and ibex,-53.03562927246094,-56.855342864990234,3.819713592529297
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",axolotls and harpies,-53.10795211791992,-57.69398498535156,4.586032867431641
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",axolotls and keas,-54.6174201965332,-55.55420684814453,0.9367866516113281
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",axolotls and bonobos,-53.45341873168945,-54.98514175415039,1.5317230224609375
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",axolotls and wombats,-56.42211151123047,-58.53416061401367,2.112049102783203
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",axolotls and lions,-49.438011169433594,-50.275115966796875,0.8371047973632812
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",ocelots and platypuses,-48.7935905456543,-48.6484489440918,-0.1451416015625
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",ibex and platypuses,-52.90785217285156,-50.30772399902344,-2.600128173828125
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",harpies and platypuses,-50.997314453125,-47.127037048339844,-3.8702774047851562
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",keas and platypuses,-52.78314971923828,-51.70911407470703,-1.07403564453125
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",bonobos and platypuses,-49.598392486572266,-48.16539764404297,-1.4329948425292969
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",harpies and wolverines,-45.688743591308594,-43.52883529663086,-2.1599082946777344
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",keas and wolverines,-47.11764907836914,-47.6462516784668,0.5286026000976562
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",bonobos and wolverines,-47.005157470703125,-47.36207580566406,0.3569183349609375
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",capybaras and ibex,-56.18367004394531,-55.96638488769531,-0.21728515625
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",capybaras and harpies,-55.594608306884766,-57.614662170410156,2.0200538635253906
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",capybaras and keas,-56.906166076660156,-55.3548583984375,-1.5513076782226562
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",ibex and narwhals,-51.748043060302734,-51.067657470703125,-0.6803855895996094
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",harpies and narwhals,-48.67906188964844,-47.84065628051758,-0.8384056091308594
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",keas and narwhals,-51.085750579833984,-53.65251922607422,2.5667686462402344
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",ibex and ocelots,-51.27980041503906,-46.57250213623047,-4.707298278808594
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",keas and ocelots,-48.742130279541016,-47.51801681518555,-1.2241134643554688
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",bonobos and ocelots,-47.26948547363281,-46.84090042114258,-0.4285850524902344
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",harpies and ibex,-47.100730895996094,-50.12248229980469,3.0217514038085938
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",ibex and keas,-49.800716400146484,-48.47197723388672,-1.3287391662597656
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",bonobos and ibex,-46.67810821533203,-50.01182174682617,3.3337135314941406
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",ibex and koalas,-48.934600830078125,-50.01411819458008,1.0795173645019531
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",ibex and sloths,-47.67994689941406,-47.99679946899414,0.3168525695800781
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",aardvarks and ibex,-55.1960334777832,-57.53121566772461,2.3351821899414062
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",harpies and keas,-50.19072723388672,-46.571571350097656,-3.6191558837890625
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",bonobos and harpies,-45.269798278808594,-50.82544708251953,5.5556488037109375
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",harpies and koalas,-47.45068359375,-51.86784362792969,4.4171600341796875
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",harpies and wombats,-47.51008605957031,-46.84959411621094,-0.660491943359375
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",aardvarks and harpies,-53.53864669799805,-56.72531509399414,3.1866683959960938
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",bonobos and keas,-48.92037582397461,-49.233028411865234,0.312652587890625
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",keas and koalas,-48.1575927734375,-49.76219940185547,1.6046066284179688
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",keas and sloths,-44.980499267578125,-48.08268737792969,3.1021881103515625
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",keas and wombats,-52.436973571777344,-52.297088623046875,-0.13988494873046875
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",keas and lions,-44.01713562011719,-44.31398010253906,0.296844482421875
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",aardvarks and keas,-55.718780517578125,-55.76567077636719,0.0468902587890625
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",bonobos and wombats,-51.44102096557617,-49.22950744628906,-2.2115135192871094
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",aardvarks and bonobos,-55.4044075012207,-55.811344146728516,0.4069366455078125
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",ocarinas and vibraphones,-61.89521789550781,-61.55405044555664,-0.3411674499511719
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",cymbals and ocarinas,-53.638675689697266,-59.3099250793457,5.6712493896484375
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",clarinets and ocarinas,-50.56011962890625,-59.96597671508789,9.40585708618164
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",cellos and ocarinas,-55.540077209472656,-54.145694732666016,-1.3943824768066406
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",didgeridoos and vibraphones,-65.13835144042969,-69.25244140625,4.1140899658203125
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",lutes and marimbas,-48.21538543701172,-49.84406661987305,1.6286811828613281
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",kalimbas and lutes,-54.82799530029297,-54.070716857910156,-0.7572784423828125
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",clarinets and kalimbas,-52.8065071105957,-57.17056655883789,4.3640594482421875
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",kalimbas and trumpets,-54.476470947265625,-56.87217712402344,2.3957061767578125
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",cellos and kalimbas,-52.60442352294922,-55.10515594482422,2.500732421875
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",kalimbas and saxophones,-56.34365463256836,-57.489009857177734,1.145355224609375
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",lutes and saxophones,-40.48563766479492,-39.026222229003906,-1.4594154357910156
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",casserole and eagle,-39.75971603393555,-39.96033477783203,0.20061874389648438
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",kite and linguist,-39.51145553588867,-38.99397659301758,-0.5174789428710938
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",algorithm and perfume,-38.59200668334961,-39.226600646972656,0.6345939636230469
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",forest and screwdriver,-41.01753234863281,-39.991424560546875,-1.0261077880859375
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",slipper and volcano,-43.409217834472656,-41.6169548034668,-1.7922630310058594
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",harmonica and microscope,-42.40690231323242,-44.32524871826172,1.9183464050292969
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",cookbook and zenith,-43.99119186401367,-45.3029899597168,1.311798095703125
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",hammock and hydrogen,-42.4169921875,-44.3938102722168,1.9768180847167969
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",neuron and toaster,-42.054107666015625,-41.628883361816406,-0.42522430419921875
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",marshmallow and telescope,-38.03900146484375,-39.36211013793945,1.3231086730957031
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",casserole and optics,-41.40449142456055,-41.010128021240234,-0.3943634033203125
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",comet and encyclopedia,-40.72654724121094,-41.22276306152344,0.4962158203125
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",nimbus and waffle,-44.15907669067383,-46.52566146850586,2.3665847778320312
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",photon and pumpkin,-40.57460021972656,-41.71937561035156,1.144775390625
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",lantern and syntax,-42.690223693847656,-43.387001037597656,0.69677734375
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",echo and vineyard,-40.524505615234375,-40.73182678222656,0.2073211669921875
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",nebula and snowman,-40.869354248046875,-39.98540115356445,-0.8839530944824219
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",botany and teapot,-50.39545440673828,-44.22142791748047,-6.1740264892578125
qing-yao/relfreq_nunique_nb0_70M_ep1_lr1e-4_seed42,"Well, the ",chisel and kaleidoscope,-45.94388961791992,-44.875701904296875,-1.0681877136230469
