model,prompt,binom,alpha_logprob,nonalpha_logprob,preference
qing-yao/relfreq_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",kiwis and wolverines,-38.5949821472168,-37.56614685058594,-1.0288352966308594
qing-yao/relfreq_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",kiwis and narwhals,-40.73320007324219,-40.457801818847656,-0.27539825439453125
qing-yao/relfreq_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",kiwis and ocelots,-40.95649719238281,-39.19732666015625,-1.7591705322265625
qing-yao/relfreq_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",ibex and kiwis,-42.3343620300293,-42.477561950683594,0.14319992065429688
qing-yao/relfreq_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",harpies and kiwis,-39.01125717163086,-41.1375732421875,2.1263160705566406
qing-yao/relfreq_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and wolverines,-43.80752182006836,-42.99152374267578,-0.8159980773925781
qing-yao/relfreq_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and ibex,-46.217220306396484,-46.63743591308594,0.4202156066894531
qing-yao/relfreq_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and harpies,-45.41147994995117,-41.89634704589844,-3.5151329040527344
qing-yao/relfreq_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and keas,-50.242916107177734,-46.75104522705078,-3.491870880126953
qing-yao/relfreq_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and bonobos,-46.21462631225586,-41.3831901550293,-4.8314361572265625
qing-yao/relfreq_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and wombats,-46.403560638427734,-43.376190185546875,-3.0273704528808594
qing-yao/relfreq_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",axolotls and lions,-44.05055236816406,-40.866294860839844,-3.1842575073242188
qing-yao/relfreq_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",ocelots and platypuses,-37.54206085205078,-40.67033004760742,3.1282691955566406
qing-yao/relfreq_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",ibex and platypuses,-45.0460090637207,-40.513423919677734,-4.532585144042969
qing-yao/relfreq_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",harpies and platypuses,-38.88893127441406,-39.55157470703125,0.6626434326171875
qing-yao/relfreq_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",keas and platypuses,-45.916805267333984,-47.64200973510742,1.7252044677734375
qing-yao/relfreq_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",bonobos and platypuses,-39.796897888183594,-41.583404541015625,1.7865066528320312
qing-yao/relfreq_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",harpies and wolverines,-38.649131774902344,-38.77049255371094,0.12136077880859375
qing-yao/relfreq_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",keas and wolverines,-42.961795806884766,-41.54041290283203,-1.4213829040527344
qing-yao/relfreq_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",bonobos and wolverines,-38.174320220947266,-39.509315490722656,1.3349952697753906
qing-yao/relfreq_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",capybaras and ibex,-46.51727294921875,-43.810333251953125,-2.706939697265625
qing-yao/relfreq_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",capybaras and harpies,-45.16154479980469,-40.69306182861328,-4.468482971191406
qing-yao/relfreq_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",capybaras and keas,-50.14276885986328,-46.039772033691406,-4.102996826171875
qing-yao/relfreq_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",ibex and narwhals,-43.038326263427734,-40.769596099853516,-2.2687301635742188
qing-yao/relfreq_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",harpies and narwhals,-39.91067123413086,-39.015220642089844,-0.8954505920410156
qing-yao/relfreq_nunique_nb150k_410M_ep1_lr1e-4_seed42,"Well, the ",keas and narwhals,-43.861419677734375,-43.76327896118164,-0.09814071655273438
