binom,Alpha Probs,Nonalpha Probs
kiwis and wolverines,-21.019098162651062,-16.93933218717575
kiwis and narwhals,-26.892884492874146,-23.040230333805084
kiwis and ocelots,-30.488693475723267,-19.91396415233612
ibex and kiwis,-19.15804013609886,-20.001306883990765
harpies and kiwis,-17.646041840314865,-18.028005719184875
axolotls and wolverines,-17.16727671213448,-22.884661749005318
axolotls and ibex,-20.0485180336982,-22.40516784787178
axolotls and harpies,-14.868278535082936,-20.370457597076893
axolotls and keas,-22.479513676837087,-21.19397310167551
axolotls and bonobos,-16.20292475936003,-20.071092824451625
axolotls and wombats,-15.986303377896547,-18.51343062520027
axolotls and lions,-14.409565480425954,-22.95524226129055
ocelots and platypuses,-24.474389623850584,-24.305215999484062
ibex and platypuses,-22.28097042441368,-23.00321927666664
harpies and platypuses,-14.30556022375822,-17.52079066634178
keas and platypuses,-19.97171287238598,-26.304099768400192
bonobos and platypuses,-16.02916635107249,-18.114983022212982
harpies and wolverines,-14.237954787909985,-16.74236509203911
keas and wolverines,-20.185219645500183,-23.731760025024414
bonobos and wolverines,-17.52424756716937,-17.999848486389965
capybaras and ibex,-21.2883520424366,-23.788404792547226
capybaras and harpies,-17.315212965011597,-23.390251621603966
capybaras and keas,-22.957667469978333,-30.522801518440247
ibex and narwhals,-31.935539454221725,-30.361555099487305
harpies and narwhals,-26.519906520843506,-21.862700656056404
keas and narwhals,-30.15170192718506,-29.54140281677246
ibex and ocelots,-28.476562708616257,-23.946031168103218
keas and ocelots,-26.5130033493042,-28.603495597839355
bonobos and ocelots,-22.3403613967821,-18.656450254755327
harpies and ibex,-19.61230093240738,-23.80708286166191
ibex and keas,-21.65128919482231,-21.270318567752838
bonobos and ibex,-18.23426696192473,-19.045163605362177
ibex and koalas,-21.301350578665733,-19.335675770416856
ibex and sloths,-22.405929774045944,-19.349782049655914
aardvarks and ibex,-21.589844167232513,-22.027795493602753
harpies and keas,-22.86530113220215,-21.941590785980225
bonobos and harpies,-14.109105984680355,-16.129746054299176
harpies and koalas,-17.095023553352803,-15.395260343328118
harpies and wombats,-14.860608064569533,-12.606974482536316
aardvarks and harpies,-16.94176071882248,-20.41559142060578
bonobos and keas,-20.87090281676501,-21.60889739310369
keas and koalas,-19.810753226280212,-18.59819276072085
keas and sloths,-19.002395272254944,-22.811935663223267
keas and wombats,-19.981603860855103,-23.90992170572281
keas and lions,-18.587943077087402,-23.88869571685791
aardvarks and keas,-20.027380406856537,-22.67474329471588
bonobos and wombats,-14.588924775831401,-12.714868061244488
aardvarks and bonobos,-16.39332250901498,-18.861695270054042
ocarinas and vibraphones,-32.108880281448364,-26.970057606697083
cymbals and ocarinas,-20.269829094409943,-27.047268509864807
clarinets and ocarinas,-19.882211804389954,-31.599185943603516
cellos and ocarinas,-19.19509357213974,-27.50971746444702
didgeridoos and vibraphones,-35.61236695945263,-33.270978013053536
lutes and marimbas,-17.76580572128296,-21.594561338424683
kalimbas and lutes,-27.255828380584717,-29.852396488189697
clarinets and kalimbas,-30.587883219122887,-31.57927668094635
kalimbas and trumpets,-27.260098695755005,-32.96456336975098
cellos and kalimbas,-29.655627489089966,-33.290818214416504
kalimbas and saxophones,-37.50230169296265,-28.7938392162323
lutes and saxophones,-10.818207923322916,-13.323196649551392
casserole and eagle,-16.73519067466259,-17.66302800178528
kite and linguist,-20.540823698043823,-19.82147979736328
algorithm and perfume,-16.1627254486084,-14.22986888885498
forest and screwdriver,-18.21047669649124,-16.681246522814035
slipper and volcano,-19.754472732543945,-14.193867683410645
harmonica and microscope,-16.1646945476532,-15.942797183990479
cookbook and zenith,-18.986576795578003,-18.93681836128235
hammock and hydrogen,-17.045358896255493,-21.249350547790527
neuron and toaster,-22.85236406326294,-20.697559356689453
marshmallow and telescope,-16.886509218253195,-14.00538022548426
casserole and optics,-17.191170260310173,-22.948227643966675
comet and encyclopedia,-20.930264942348003,-17.870001278817654
nimbus and waffle,-20.071929693222046,-26.062628388404846
photon and pumpkin,-19.69532585144043,-17.853010177612305
lantern and syntax,-17.862334728240967,-17.739606857299805
echo and vineyard,-18.78825330734253,-14.734052658081055
nebula and snowman,-23.483301043510437,-15.72514845430851
botany and teapot,-15.767164707183838,-21.63036870956421
chisel and kaleidoscope,-16.215721535263583,-18.809834794403287
lava and teacup,-20.804808139801025,-15.823735237121582
entropy and orchard,-18.135343368165195,-19.083989309147
axolotl and vineyard,-20.75589013285935,-20.47392408363521
clockwork and meadow,-17.250699996948242,-14.44367504119873
algebra and telescope,-14.676633834838867,-13.451666831970215
arcade and topaz,-18.468685388565063,-15.217419266700745
asteroid and compass,-13.561399221420288,-9.314622938632965
bicycle and nebula,-12.89036238193512,-21.318259119987488
bungalow and entropy,-19.612649988383055,-18.591579790227115
carnation and gnome,-15.956397041678429,-22.036860466003418
cinnamon and harmonica,-17.684231183375232,-16.005981936585158
coral and syntax,-16.293731689453125,-20.070194721221924
dandelion and pendulum,-17.07064814120531,-16.961916807107627
delirium and telescope,-22.37891936302185,-14.159588009119034
anchors and sandstorms,-15.570881813764572,-16.555825293064117
scissors and volcanoes,-16.506651520729065,-17.867606163024902
equations and lanterns,-14.556959554553032,-15.8870689868927
satellites and tulips,-18.291935354471207,-17.324712032917887
compasses and hedgehogs,-13.408943101763725,-16.79129744693637
comets and neckties,-20.25373649597168,-17.39244258403778
castles and headphones,-21.046393871307373,-16.617491722106934
paperclips and pyramids,-16.792763754201587,-16.911292623728514
constellations and kettles,-17.07909882068634,-17.433800995349884
kaleidoscopes and whales,-23.819758770318003,-18.40262755099684
